Tokens,Sentiment_score,Sentiment_emotion,Part_of_speech
"['baby', 'elephant', 'chasing', 'birds', '☺', '️']",1,Joy,NOUN
"['""', 'oh', 'good', 'gosh', '!', '""', '😳']",0,Surprise,INTJ
"['im', 'a', 'nigga', 'when', 'it', 'comes', 'to', 'music', '.', '😭']",-1,Sadness,VERB
"['new', 'gear', '-', '🏴']",0,Surprise,NOUN
"['you', 'can', 'still', 'do', 'it', ',', 'shift', 'ho', 'jao', 'pakistan', '👍']",1,Joy,ADJ
"['10', 'y', '/', 'o', 'lion', 'heart', '🦁', '.', '•', '*', '¨', '*', '•', '☆', 'rescued', '☆', '•', '*', '¨', '*', '•', '.', '¸', '¸', 'shamrock.rescue', 'thank', 'you', 'to', 'this', 'foster', '&', 'rescue', 'without', 'senior', 'fost', '…']",1,Joy,NOUN
"['morninggg', '.', 'take', 'careee', '💜']",1,Love,ADJ
"['been', 'an', 'emotional', 'wreck', 'all', 'day', '🙄']",-1,Disgust,ADJ
"['invest', 'in', 'your', 'dreams', '❗', '️it', 'took', 'me', 'a', 'while', 'to', 'grasp', 'that', 'concept']",0,Surprise,PUNCT
"['tim', 'hortons', 'falls', 'from', '4th', 'to', '50th', 'in', 'survey', 'of', 'canadians', '’', 'most', 'admired', 'brands', '.', 'i', 'think', 'tim', 'hortons', 'should', 'thank', '🤩', 'for', '…']",1,Joy,VERB
"[""i'm"", 'tired', 'asfff', '😭']",-1,Sadness,VERB
"['wits', 'iain', 'dain', 'wearing', 'a', 'hi-viz', 'vest', 'just', 'to', 'rip', 'flowers', 'aff', 'a', 'fence', '😂']",1,Joy,VERB
"['hi', 'hi', 'hi', 'thank', 'you', 'sweetie', '😊', 'this', 'encouragement', 'you', 'give', 'is', 'more', 'than', 'enough', ',', 'i', 'really', 'appreciate', 'your', 'co', '…']",1,Joy,ADJ
"['😏', 'idk', 'wassup', 'with', 'you', 'i', 'was', 'thinking', 'about', 'blowing', 'that', 'house', 'up', 'lastnight', 'you', 'stood', 'us', 'up', 'huh']",-1,Disgust,ADJ
"['ipl', 'fever', '🤒']",-1,Sadness,ADJ
"[""what's"", 'this', 'mate', '😂', '?']",1,Joy,VERB
"['we', 'do', 'what', 'we', 'can', '!', '😉']",1,Joy,ADJ
"['spongebob', '😭']",-1,Sadness,VERB
"['fresh', 'coconut', 'milk', 'is', 'the', 'key', 'to', 'a', 'best', 'pelau', '😋']",1,Joy,ADJ
"['i', 'could', 'always', 'want', 'you', ',', 'but', 'i', '’', 'll', 'never', 'need', 'you', 'slim', '💯']",1,Joy,ADJ
"['😂', 'awww', '.', 'how', 'will', 'you', 'be', 'able', 'to', 'function', 'now', '?', '?']",1,Joy,PUNCT
"['resuming', '💪']",1,Joy,ADJ
"['follow', 'everyone', 'who', 'retweets', 'and', 'likes', 'this', '🎌']",0,Surprise,NOUN
"['first', 'new', 'makeup', 'look', 'of', '2018', '🌚']",0,Surprise,NOUN
"['love', 'wins', '🌈']",1,Love,NOUN
"['lmao', 'i', 'drop', 'a', 'v2', 'on', 'some', 'retards', 'and', 'my', 'internet', 'goes', 'offline', 'gotta', 'love', 'it', '😂', 'fag', 'ass', 'booters', 'i', 'swear']",1,Joy,VERB
"['ariana', 'is', 'going', 'to', 'make', 'bia', 'relevant', 'because', 'i', 'didn', '’', 't', 'even', 'know', 'who', 'this', 'was', '😂']",1,Joy,VERB
"['spoil', 'me', 'with', 'loyalty', ',', 'i', 'can', 'finance', 'myself', '.', '✨']",1,Joy,NOUN
"['act', 'my', 'age', 'by', '1d', '+', ""exo's"", 'fun', ',', 'happy', 'days', 'i', 'love', 'my', 'boys', '❤', 'exo', 'baekhyun']",1,Love,VERB
"['...', 'pls', 'help', '🙏']",-1,Anger,VERB
"['here', 'you', 'go', '💗', 'miss', 'you', 'dude']",1,Love,NOUN
"['💀', 'made', 'it', '.', 'for', 'the', 'lulz', '.']",-1,Fear,NOUN
"['betty', 'has', 'so', 'many', 'pictures', 'of', 'the', 'love', 'of', 'her', 'life', '😩', 'i', 'hate', 'them', '.', '…']",-1,Sadness,ADJ
"['people', 'are', 'so', 'ignorant', 'and', 'rude', '!', 'love', 'yourself', ',', ""you're"", 'perfect', 'just', 'the', 'way', 'you', 'are', '💜']",1,Love,ADJ
"['you', 'thought', 'was', 'going', 'to', 'let', 'march', 'slide', 'without', 'another', 'insane', 'drink', 'deal', '?', '🍋']",0,Anger,NOUN
"['broccoli', 'city', 'booked', 'and', 'planned', '🤪']",1,Joy,VERB
"['retweet', 'if', 'you', 'want', 'me', 'to', 'open', 'my', ""dm's"", 'so', 'you', 'can', 'send', 'me', 'a', 'dick', 'pic', '😛']",1,Joy,VERB
"['so', 'what', 'y', '’', 'all', 'bitches', 'be', 'doing', 'at', 'these', 'lingerie', 'parties', '?', '🤔', '...', 'i', 'see', 'no', 'point', 'if', 'y', '’', 'all', 'not', 'finna', 'be', 'turnt', 'doing', 'some', 'freaky', '…']",-1,Disgust,ADJ
"['in', 'korean', 'music', 'awards', ',', 'are', 'nominated', 'in', 'the', 'category', 'of', ':', '-', '🌟', 'musician', 'of', 'the', 'year', '(', 'bt', '…']",1,Joy,NOUN
"['and', 'if', 'you', 'send', 'your', 'soundcloud', 'link', 'you', 'getting', 'blocked', '☺', '️']",1,Joy,ADJ
"['sadly', ',', 'i', 'think', 'it', 'is', '😞', '.']",-1,sadness,ADJ
"['on', 'the', 'subject', 'of', 'arsenal-based', 'gifs', ',', ""you've"", 'got', 'to', 'check', 'out', 'our', 'account', ""we've"", 'got', 'hundreds', 'right', 'here', '👉', '…']",0,Surprise,ADP
"['i', '’', 'm', 'so', 'ready', 'to', 'be', 'where', 'i', 'need', 'and', 'want', 'to', 'be', 'in', 'my', 'life', '..', 'no', 'one', 'knows', '😫']",-1,Sadness,ADJ
"['i', 'regret', 'showin', 'love', 'to', 'you', 'snake', 'niggas', 'and', 'you', 'basic', 'ass', 'hoes', '🎯']",-1,Anger,NOUN
"['bruhh', 'when', 'my', 'professor', 'doing', 'code', 'and', 'mess', 'up', 'he', 'be', 'like', ',', '""', 'well', 'that', ""shouldn't"", 'work', '""', '💀']",-1,Fear,VERB
"['we', 'got', 'you', '👌']",1,Joy,ADJ
"['bad', 'quality', ',', 'good', 'intentions', '💘']",1,Love,NOUN
"['finally', ""exo's"", 'official', 'twitter', 'acc', '.', 'posted', 'abt', 'this', '...', 'here', 'is', 'another', 'important', 'thing', 'which', 'needed', 'to', 'be', 'included', '...', '👇', '…']",0,Surprise,ADP
"['thanks', 'for', 'everything', 'scott', '💕']",1,Love,NOUN
"['happy', 'friday', '~', '🐈']",1,Joy,NOUN
"['sameeee', '😢']",-1,sadness,ADJ
"['u', 'all', 'might', 'hate', 'me', 'but', 'im', 'jung', 'yonghwa', 'armpit', 'hair', 'enthusiast', '&', 'i', 'see', 'it', 'sticking', 'out', 'ㅋㅋㅋ', 'i', 'just', 'love', 'evrypart', 'of', 'him', '🙈']",1,Love,NOUN
"['how', 'to', 'pronounce', 'bustification', '↺', 'rt', '❤', '#']",1,Love,PUNCT
"['bill', 'milward', 'age', ':', '32', 'loving', 'father', 'of', '3', 'daughters', ',', 'math', 'wiz', ',', 'generous', 'to', 'a', 'fault', ',', 'gave', 'the', 'best', 'bear', 'hugs', '.', '❤', '️', 'lost', 'to', 'su', '…']",1,Love,NOUN
"['just', 'couldn', '’', 't', 'resist', 'it', 'had', 'to', 'test', 'out', 'my', 'new', 'strap', 'on', '😈']",1,Joy,ADJ
"['icymi', ':', 'today', 'on', 'bts', '🎙', 'i', 'broke', 'down', 'the', 'big', 'trade', 'and', 'why', 'i', 'think', 'kolby', 'altman', 'put', 'the', 'cavs', 'back', 'in', 'contention', '.', '-', 'wh', '…']",0,Surprise,NOUN
"['first', 'love', '💖']",1,Love,NOUN
"['wow', 'armys', 'really', 'crashed', 'the', 'bbma', '’', 's', 'ticket', 'site', 'after', 'the', 'nominations', 'were', 'announced', 'huh', '😩', '…']",-1,Sadness,VERB
"['god', 'bless', 'my', 'love', '!', 'late', 'but', 'hope', 'you', 'did', 'well', 'and', 'obtain', 'bigger', 'blessings', '💖']",1,Love,NOUN
"['when', 'there', 'is', 'an', 'exciting', 'story', 'and', 'you', ""can't"", 'wait', 'to', 'tell', 'your', 'bestfriend', 'about', '😂']",1,Joy,VERB
"['""', 'let', 'all', 'the', 'earth', 'cry', 'out', 'to', 'god', 'with', 'joy', '!', '""', 'via', '😇']",1,Joy,ADJ
"['if', 'i', 'spiralise', 'my', 'eyes', ',', 'does', 'that', 'mean', 'i', '’', 'm', 'healthy', '?', '👅']",0,Surprise,NOUN
"['i', '’', 've', 'never', 'been', 'so', 'bored', 'in', 'my', 'entire', 'life', '🙃']",-1,Fear,ADJ
"['tobi', 'is', 'one', 'lucky', 'guy', 'chai', '😂']",1,Joy,VERB
"['it', '’', 's', 'big', '2018', 'and', 'i', 'still', 'struggle', 'with', 'captions', '🤧']",-1,Fear,ADJ
"['even', 'in', 'different', 'countries', ',', 'my', 'boys', ""don't"", 'forget', 'to', 'bow', '😉']",1,Joy,ADJ
"['this', 'the', 'real', 'king', '👑']",1,Joy,NOUN
"['after', 'workout', 'naka', '2rice', 'then', '1', 'pack', 'ng', 'cookies', '😩']",-1,Sadness,VERB
"['social', 'security', 'is', 'in', 'big', 'trouble', '.', '👉']",0,Surprise,ADP
"['lil', 'hoe', 'from', 'tha', '$', 'trong', '$', 'ide', 'of', 'tha', 'josie', '‼', '️']",-1,Anger,PUNCT
"[""that's"", 'why', 'we', 'go', 'to', 'the', ""'"", 'rewind', ""'"", 'festival', 'these', 'days', '😂']",1,Joy,VERB
"['good', 'morning', 'everyone', '😃']",1,Joy,ADJ
"['i', ""don't"", 'care', 'about', 'people', 'who', 'judge', 'me', '.', ""i'am"", 'just', 'gonna', 'do', 'whatever', 'makes', 'me', 'happy', 'in', 'my', 'life', '😎']",1,Joy,ADJ
"['you', 'know', 'what', 'would', 'be', 'the', 'hottest', 'valentine', 'date', 'for', 'armys', '?', 'hixtape', '🔥', 'kiddin', '…']",1,Joy,NOUN
"['when', 'your', 'friend', 'reminds', 'you', 'about', 'the', 'new', 'on', 'tonight', '.', '💯']",1,Joy,ADJ
"['small', 'town', 'local', 'politics', ',', 'and', 'of', 'course', ',', 'romance', '!', '★', 'the', 'dolan', 'girls', '★', '👉']",0,Surprise,ADP
"['they', 'better', 'not', '.', 'i', 'ady', 'broke', 'from', 'their', 'bt21', 'stuff', '😂']",1,Joy,VERB
"[""here's"", 'hoping', '😁']",1,Joy,VERB
"['pick', 'your', 'favorite', 'performance', 'from', 'with', 'another', 'male', 'artist', '.', '🎙']",0,Surprise,NOUN
"['quick', 'dragon', 'lore', '💎', 'giveaway', '.', 'rt', 'and', 'link', 'inventories', '.', 'winner', 'in', '2', 'hour']",1,Joy,NOUN
"['christ', 'loves', 'all', 'of', 'us', '.', 'doubt', 'not', '.', 'fear', 'not', '.', 'judge', 'not', '.', '♥', '️']",1,Love,NOUN
"['serena', 'escorting', 'mikey', 'from', 'her', 'office', 'by', 'the', 'back', 'of', 'his', 'neck', 'after', 'his', 'questions', 'abt', 'bernie', 'tho', 'hahahahaha', 'gay', 'panic', '™', '️', 'a', '…']",1,Joy,NOUN
"['focus', 'on', 'me', '🖤']",1,Love,NOUN
"['🤔', 'if', 'all', 'that', 'he', 'accused', 'people', 'of', 'were', 'proven', 'true', ',', 'why', 'would', 'he', 'lose', 'the', 'defamation', 'case', 'and', 'go', 'to', 'jail', '?', '?', 'aaptard', 'logic', 'na', '…']",-1,Disgust,ADJ
"['😂', 'cr', '.', 'ginger', '4him']",1,Joy,ADJ
"['leg', 'day', '.', '😪']",-1,Sadness,ADJ
"['tht', 'boy', 'was', 'in', 'the', 'building', 'today', 'practice', '!', '!', 'always', 'great', 'talking', 'to', 'you', 'homie', '..', 'ak41', '🏈', 'camp', 'coming', 'soon', 'to', 'e', '…']",1,Joy,NOUN
"['miss', 'this', 'boy', 'more', 'than', 'anything', 'in', 'the', 'whole', 'world', '☹', '️']",-1,sadness,ADJ
"['retweet', '🐇', ""let's"", 'do', 'it', 'for', 'exo']",1,Joy,NOUN
"['fearless', '🙈']",0,Surprise,ADJ
"['access', 'to', 'higher', 'ed', 'must', 'be', 'addressed', 'as', 'a', 'political', 'issue', 'this', 'year', '.', '✴', '️']",0,Surprise,PUNCT
"['🎥', 'vdo', ':', '26', 'files']",0,Surprise,NOUN
"['laxus', 'from', 'fairy', 'tail', '😀']",1,Joy,PROPN
"['kylie', 'jenner', 'shares', 'selfies', 'with', 'daughter', 'stormi', '😍']",1,Love,VERB
"['please', 'increase', 'the', 'window', '.', '😂']",1,Joy,VERB
"['they', 'were', 'both', 'so', 'happy', 'to', 'be', 'back', 'in', 'each', ""other's"", 'arms', '.', 'back', 'where', 'they', 'belong', '.', 'i', 'love', 'this', 'moment', 'so', 'much', '!', '💕', '…']",1,Love,NOUN
"['fuck', 'wisdom', 'teeth', '🖕']",-1,Anger,ADJ
"['terrapin', 'for', 'sora', 'frank', 'couture', 'by', 'megan', 'dendinger', 'photography', '🌟']",1,Joy,NOUN
"['very', 'good', 'naman', '😉']",1,Joy,ADJ
"['7:30', 'am', 'sharp', 'tomorrow', '💀']",-1,Fear,ADJ
"['um', 'magrinho', 'me', 'dx', 'fracaaa', 'snrz', 'rs', '😍']",1,Love,VERB
"['help', 'support', 'my', 'classroom', 'and', 'students', '🎧']",1,Joy,NOUN
"['with', 'get_repost', '・', '・', '・', 'short', 'girlfriend', 'struggles', '😩', 'ayethatsmera']",-1,Sadness,VERB
"['everyone', 'can', 'be', 'difficult', 'and', 'emotional', '.', 'some', 'worse', 'than', 'others', '.', '😉']",1,Joy,ADJ
"[""here's"", 'your', 'culprit', '!', '☔']",0,Surprise,PUNCT
"['hello', ',', ""i'm"", 'doing', 'my', 'first', 'ever', 'ga', 'and', ""it's"", 'the', 'monopoly', 'x', 'bt21', 'merch', ',', 'check', 'the', 'deets', 'below', '❣']",1,Love,NOUN
"['finally', 'in', '😍']",1,Love,ADJ
"['damn', ',', 'just', 'cause', 'i', 'lynched', 'you', 'once', '.', '😩']",-1,Sadness,VERB
"['🥊', 'i', 'dare', 'you']",0,Surprise,NOUN
"['reminder', ',', 'much', 'anticipated', 'return', 'to', 'will', 'be', 'here', 'in', 'just', '2', 'days', '!', 'check', 'out', 'the', 'preview', '👉']",0,Surprise,ADP
"['i', '’', 'm', 'here', 'for', '🤤']",1,Joy,ADJ
"['reserve', 'your', 'tickets', 'now', '!', 'pls', 'dm', '💘']",1,Love,NOUN
"['pretty', 'jealous', 'of', 'all', 'the', 'people', 'heading', 'to', 'the', 'beach', 'today', '.', '😒']",-1,Disgust,ADJ
"['imagine', 'having', 'a', 'heated', 'conversation', 'and', 'then', 'seeing', 'gary', 'looking', 'at', 'you', 'like', 'this', '😏']",1,Joy,ADJ
"['i', 'am', 'his', 'and', 'he', 'is', 'mine', '🎶']",1,Joy,NOUN
"['[', 'askmf', ']', 'in', 'case', 'you', 'forget', 'how', 'to', 'be', 'happy', ',', 'please', 'remember', 'how', 'to', 'stop', 'being', 'sad', '.', 'good', 'night', '❤']",1,Love,VERB
"['the', 'power', 'of', 'ocean', 'film', '🌊', '-']",1,Joy,NOUN
"['bless', 'u', 'as', 'always', '💫']",1,Joy,ADJ
"['just', 'wanna', 'be', 'surrounded', 'by', 'sunflowers', 'and', 'sunshine', '24/7', '💛']",1,Love,NOUN
"['fd', 'prom', '2018', 'ft', '.', 'my', 'handsome', 'baby', '❤', '️']",1,Love,NOUN
"['this', 'was', 'me', '😂', 'god', 'shut', 'me', 'up', 'fast']",1,Joy,VERB
"['more', 'lando', 'please', '!', '😁']",1,Joy,VERB
"['latino', 'teen', 'fucked', 'raw', 'and', 'creamed', 'by', 'wyatt', 'sirens', '😍', '…']",1,Love,ADJ
"['ohhh', 'nice', 'cock', '!', '!', '😉']",1,Joy,ADJ
"['plz', 'sirr', 'trailer', 'release', 'cheyyandi', '🙏']",-1,Anger,VERB
"['words', 'to', 'live', 'by', '...', '""', 'what', 'happens', 'in', 'ibiza', 'stays', 'in', 'ibiza', '""', '😏', 'be', 'sure', 'to', 'listen', 'back', 'to', 'with', 'on', '…']",1,Joy,ADJ
"['s', 'l', 'a', 'y', 'i', 'n', 'g', '😍']",1,Love,VERB
"['rare', 'picture', 'of', 'drake', 'and', 'lil', 'wayne', '🔥']",1,Joy,NOUN
"['yesterday', 'made', 'two', 'years', 'with', 'deoksugung', 'stonewall', 'walkway', '✨', '.', 'the', 'song', 'have', '9', 'million', 'views', 'on', 'youtube', ',', '6', 'on', 'itunes', '…']",1,Joy,NOUN
"['the', 'jigsaw', 'piece', ""doesn't"", 'fit', 'the', 'puzzle', '😕']",-1,Sadness,ADJ
"['rihanna', 'is', 'already', 'a', 'masterpiece', 'but', ""i'm"", 'shooketh', '.', '😩']",-1,Sadness,ADJ
"['just', 'seen', 'this', 'from', 'a', 'friend', 'of', 'his', 'on', 'facebook', '😡', 'scumbag', 'clearly', 'knows', 'who', 'was', 'there']",-1,Anger,ADJ
"['happy', 'birthday', 'davy', '!', '🎈']",1,Joy,NOUN
"['today', 'we', 'invested', '20p', 'into', 'our', 'panda', 'saving', 'account', '😂']",1,Joy,VERB
"['can', '’', 't', 'wait', 'to', 'see', 'what', 'joy', 'and', 'brady', 'look', 'like', 'for', 'prom', '!', '!', '!', '😭']",-1,Sadness,VERB
"['↳', '˗', 'ˏˋ', '꒰', 'eye', ',', 'ear', ',', 'hand', '꒱', 'ˎˊ', '˗', '🍎', '. . .']",1,Joy,NOUN
"['follow', 'my', 'ig', 'hookas', '😂']",1,Joy,VERB
"['i', '’', 'm', 'really', 'over', 'here', 'dying', '😭']",-1,Sadness,VERB
"['scary', '😨', ""i'm"", 'keeping', 'my', 'distance', 'from', 'mango', 'leaves', 'from', 'now', 'on', '.']",-1,Fear,ADJ
"['""', 'its', 'a', ""'"", 'bushasaurus', ""'"", 'rex', '""', '!', 'absolutely', 'destroyed', 'this', 'guy', '!', '!', '!', '😂', ""can't"", 'believe', 'i', 'pulled', 'it', 'off', '!', 'htt', '…']",1,Joy,VERB
"['nat', 'are', 'you', 'okaaay', 'love', '?', '😭']",-1,Sadness,VERB
"['happy', 'birthday', 'emzo', '.', '🎊']",1,Joy,NOUN
"['love', 'working', '9', 'hours', 'and', 'having', 'to', 'wait', 'for', 'the', 'bus', 'in', 'the', 'fucking', 'rain', '🙃']",-1,Fear,ADJ
"['looks', 'like', 'sandpaper', 'to', 'me', '...', 'whats', 'yellow', 'tape', 'gonna', 'do', 'fella', '?', '😂']",1,Joy,VERB
"['some', 'recent', 'work', '!', '🌹', '50', 'rts', 'and', ""i'll"", 'hold', 'a', 'free', 'tattoo', 'raffle', 'for', 'the', 'ppl', 'who', 'retweeted', '!', 'rules', ':', 'only', 'the', 'first', '50', 'ppl', 'cou', '…']",1,Love,NOUN
"['🌟', 'like', 'and', 'retweet']",1,Joy,NOUN
"['📶', '<', '—', 'accurate', 'look', 'of', 'how', 'much', 'kentucky', 'raises', 'my', 'stress', 'levels']",-1,Fear,NOUN
"['boys', 'will', 'be', 'boys', '⚾', '️']",0,Surprise,NOUN
"['montella', 'already', 'ruined', 'ac', 'milan', ',', 'i', 'feel', 'sorry', 'for', 'sevilla', '..', ""they're"", 'gonna', 'get', 'the', 'same', 'sad', 'fate', '😢']",-1,sadness,ADJ
"['omg', 'adi', 'and', 'zoya', 'are', 'turning', 'wedding', 'planners', ',', 'this', 'is', 'littt', '🎉', ""i'm"", 'so', 'glad', 'yash', 'set', 'up', 'an', 'events', 'company', 'and', 'not', 'a', 'typical', 'b', '…']",1,Joy,NOUN
"['this', 'is', 'a', 'self-own', '.', 'look', 'at', 'prison', 'populations', '.', '😂']",1,Joy,VERB
"['-', '75', 'until', 'niall', 'horan', 'in', 'milan', '!', '!', 'see', 'you', 'there', '💞']",1,Love,NOUN
"['where', 'are', 'my', 'gifts', '?', 'still', 'waiting', 'on', 'a', 'dm', '😈']",1,Joy,ADJ
"['our', 'super', 'seniors', 'got', 'tat', 'one', 'as', 'annual', 'gift', '..', 'every', 'one', 'will', 'bring', 'tat', 'too', 'office', '😂']",1,Joy,VERB
"['my', 'legs', 'hurt', 'from', 'driving', 'so', 'much', '😖']",-1,Sadness,ADJ
"['the', 'only', 'way', 'to', 'eat', 'grits', 'is', 'to', 'not', 'eat', 'them', 'at', 'all', '🤮']",-1,Disgust,ADJ
"['📢', 'just', 'in', ':', 'the', 'dates', 'for', 'the', '11th', 'annual', 'lady', 'legendz', 'breast', 'cancer', 'tournament', '!', 'oct', '.', '13-14', ',', '2018', '.', 'this', 'has', 'quickly', '…']",0,Surprise,NOUN
"['ian', 'connor', '’', 's', 'luggage', 'game', 'is', '🔥']",1,Joy,NOUN
"['star', 'tv', 'in', 'one', 'of', 'us', 'too', '😀']",1,Joy,NOUN
"['more', 'like', ',', 'why', 'is', 'perez', 'hilton', 'so', 'invested', 'in', 'trump', '?', 'something', 'is', 'very', 'fishy', 'there', '.', '😏']",0,Surprise,ADJ
"['hughson', ':', '♂', 'growlithe', '100.0', '%', '(', '15/15', '/', '15', ')', '1015cp', 'l34', 'ember', '/', 'body', 'slam', 'until', '01:53', ':', '57pm', '(', '29m', '44s', ')']",0,Surprise,ADP
"['we', 'made', 'purdue', 'sexy', ':)', '❤', '️']",1,Love,VERB
"['i', 'would', 'like', 'to', 'remind', 'you-ooh-ooh', ',', 'baby', 'if', ""you're"", 'so', 'inclined', 'aah-aah-aah', ',', 'baby', 'stop', 'by', 'for', '☕', 'oh-oh-oh', 'my', '…']",0,Surprise,NOUN
"['macey', '?', '?', 'this', 'is', 'gorgeous', '.', '🤩']",1,Joy,ADJ
"['one', 'of', 'the', 'best', 'edit', 'i', 'have', 'ever', 'seen', '!', '!', 'craze', '🤘', 'credit']",1,Joy,NOUN
"['i', 'am', 'so', 'grateful', '💜']",1,Love,ADJ
"['happy', '53rd', 'birthday', 'to', 'dr', 'dre', '🎈']",1,Joy,NOUN
"['i', 'care', '🙋']",1,Joy,NOUN
"['➳', 'day', 'seven', ';', '💌']",1,Love,NOUN
"[""why's"", 'that', 'david', '?', '...', 'what', 'happens', 'in', 'the', 'morning', '?', '👇']",0,Surprise,ADP
"['nvm', '...', 'now', 'it', 'keeps', 'saying', 'i', 'have', 'to', 'reload', 'and', 'i', 'still', 'can', '’', 't', 'play', '😪']",-1,Sadness,ADJ
"['10', 'pm', 'thoughts', 'hahahaha', 'pre-semester', 'effect', 'ba', '‘', 'to', '?', '?', '😩']",-1,Sadness,VERB
"['thank', 'you', 'for', 'tipping', 'for', 'birthday', 'fuck', '!', '💚']",1,Love,ADJ
"[""y'all"", 'kicked', 'ass', 'last', 'night', '!', '!', '!', '🤘', '🇦🇺']",1,Joy,ADJ
"['donee', 'please', '🌸']",1,Joy,NOUN
"['idnt', 'like', 'wen', 'my', 'friends', 'have', 'others', 'friends', '🙄']",-1,Disgust,ADJ
"['hamro', 'blood', 'group', 'a', 'positive', 'ho', '.', 'b', 'positive', 'naai', '.', '😂']",1,Joy,VERB
"['thank', 'you', 'and', 'big', 'shoutout', 'to', 'the', 'student', 'section', 'for', 'coming', 'out', 'tonight', '&', 'supporting', 'us', 'this', 'whole', 'season', '💚', '…']",1,Love,ADJ
"['😂', 'bless', 'lmao']",1,Joy,PUNCT
"[""i'm"", 'glad', 'one', 'of', 'us', 'moved', 'on', 'and', 'is', 'happy', '😊']",1,Joy,ADJ
"['""', '""', 'honey', ',', 'your', 'bare', 'back', 'is', 'instigating', 'thousands', 'of', 'tremors', 'in', 'my', 'heart', '💘']",1,Love,NOUN
"['the', 'teal', '.', '😍']",1,Love,NOUN
"['google', ':', 'dont', 'delete', 'those', 'photos', ',', 'we', 'need', 'them', 'for', '“', 'improving', 'our', 'services', '”', '😉']",1,Joy,ADJ
"['mother', '’', 's', 'day', 'alma', 'my', 'mum', 'who', 'lives', 'in', 'heaven', '😘']",1,Love,NOUN
"['omg', 'it', 'would', 'be', 'a', 'little', 'shit', 'if', 'it', 'was', 'a', 'mini', 'you', '!', '!', '!', '🤭', 'cutie', 'xxxx']",1,Joy,ADJ
"['back', 'in', 'florence', '.', 'my', 'heart', 'is', 'so', 'full', '.', '💕']",1,Love,NOUN
