Tokens,Sentiment_score,Sentiment_emotion,Part_of_speech
"['bea', 'cheer', 'up', '!', 'we', 'all', 'need', 'u', '!', 'seeing', 'u', 'worried', 'and', 'not', 'enjoying', 'the', 'game', 'mygheeeed', '😭']",-1,Sadness,VERB
"['ask', 'me', '.', 'i', 'am', 'doing', 'nothing', 'since', 'a', 'month', '.', '😂']",1,Joy,VERB
"['baby', 'elephant', 'chasing', 'birds', '☺', '️']",1,Joy,ADJ
"['""', 'oh', 'good', 'gosh', '!', '""', '😳']",0,Surprise,INTJ
"['im', 'a', 'nigga', 'when', 'it', 'comes', 'to', 'music', '.', '😭']",-1,Sadness,VERB
"['new', 'gear', '-', '🏴']",0,Surprise,SYM
"['you', 'can', 'still', 'do', 'it', ',', 'shift', 'ho', 'jao', 'pakistan', '👍']",1,Joy,ADJ
"['10', 'y', '/', 'o', 'lion', 'heart', '🦁', '.', '•', '*', '¨', '*', '•', '☆', 'rescued', '☆', '•', '*', '¨', '*', '•', '.', '¸', '¸', 'shamrock.rescue', 'thank', 'you', 'to', 'this', 'foster', '&', 'rescue', 'without', 'senior', 'fost', '…']",1,Joy,NOUN
"['morninggg', '.', 'take', 'careee', '💜']",1,Love,ADJ
"['been', 'an', 'emotional', 'wreck', 'all', 'day', '🙄']",-1,Disgust,ADJ
"['invest', 'in', 'your', 'dreams', '❗', '️it', 'took', 'me', 'a', 'while', 'to', 'grasp', 'that', 'concept']",0,Surprise,PUNCT
"['tim', 'hortons', 'falls', 'from', '4th', 'to', '50th', 'in', 'survey', 'of', 'canadians', '’', 'most', 'admired', 'brands', '.', 'i', 'think', 'tim', 'hortons', 'should', 'thank', '🤩', 'for', '…']",1,Joy,VERB
"[""i'm"", 'tired', 'asfff', '😭']",-1,Sadness,VERB
"['wits', 'iain', 'dain', 'wearing', 'a', 'hi-viz', 'vest', 'just', 'to', 'rip', 'flowers', 'aff', 'a', 'fence', '😂']",1,Joy,VERB
"['hi', 'hi', 'hi', 'thank', 'you', 'sweetie', '😊', 'this', 'encouragement', 'you', 'give', 'is', 'more', 'than', 'enough', ',', 'i', 'really', 'appreciate', 'your', 'co', '…']",1,Joy,ADJ
"['😏', 'idk', 'wassup', 'with', 'you', 'i', 'was', 'thinking', 'about', 'blowing', 'that', 'house', 'up', 'lastnight', 'you', 'stood', 'us', 'up', 'huh']",-1,Disgust,ADJ
"['ipl', 'fever', '🤒']",-1,Sadness,ADJ
"[""what's"", 'this', 'mate', '😂', '?']",1,Joy,VERB
"['we', 'do', 'what', 'we', 'can', '!', '😉']",1,Joy,ADJ
"['spongebob', '😭']",-1,Sadness,VERB
"['fresh', 'coconut', 'milk', 'is', 'the', 'key', 'to', 'a', 'best', 'pelau', '😋']",1,Joy,ADJ
"['i', 'could', 'always', 'want', 'you', ',', 'but', 'i', '’', 'll', 'never', 'need', 'you', 'slim', '💯']",1,Joy,ADJ
"['😂', 'awww', '.', 'how', 'will', 'you', 'be', 'able', 'to', 'function', 'now', '?', '?']",1,Joy,ADJ
"['resuming', '💪']",1,Joy,ADJ
"['follow', 'everyone', 'who', 'retweets', 'and', 'likes', 'this', '🎌']",0,Surprise,NOUN
"['first', 'new', 'makeup', 'look', 'of', '2018', '🌚']",0,Surprise,NOUN
"['love', 'wins', '🌈']",1,Joy,NOUN
"['lmao', 'i', 'drop', 'a', 'v2', 'on', 'some', 'retards', 'and', 'my', 'internet', 'goes', 'offline', 'gotta', 'love', 'it', '😂', 'fag', 'ass', 'booters', 'i', 'swear']",1,Joy,VERB
"['ariana', 'is', 'going', 'to', 'make', 'bia', 'relevant', 'because', 'i', 'didn', '’', 't', 'even', 'know', 'who', 'this', 'was', '😂']",1,Joy,VERB
"['spoil', 'me', 'with', 'loyalty', ',', 'i', 'can', 'finance', 'myself', '.', '✨']",1,Joy,NOUN
"['act', 'my', 'age', 'by', '1d', '+', ""exo's"", 'fun', ',', 'happy', 'days', 'i', 'love', 'my', 'boys', '❤', 'exo', 'baekhyun']",1,Love,VERB
"['...', 'pls', 'help', '🙏']",-1,Anger,VERB
"['here', 'you', 'go', '💗', 'miss', 'you', 'dude']",1,Love,NOUN
"['💀', 'made', 'it', '.', 'for', 'the', 'lulz', '.']",-1,Fear,NOUN
"['betty', 'has', 'so', 'many', 'pictures', 'of', 'the', 'love', 'of', 'her', 'life', '😩', 'i', 'hate', 'them', '.', '…']",-1,Sadness,VERB
"['people', 'are', 'so', 'ignorant', 'and', 'rude', '!', 'love', 'yourself', ',', ""you're"", 'perfect', 'just', 'the', 'way', 'you', 'are', '💜']",1,Love,ADJ
"['you', 'thought', 'was', 'going', 'to', 'let', 'march', 'slide', 'without', 'another', 'insane', 'drink', 'deal', '?', '🍋']",0,Anger,NOUN
"['broccoli', 'city', 'booked', 'and', 'planned', '🤪']",1,Joy,VERB
"['retweet', 'if', 'you', 'want', 'me', 'to', 'open', 'my', ""dm's"", 'so', 'you', 'can', 'send', 'me', 'a', 'dick', 'pic', '😛']",1,Joy,VERB
"['so', 'what', 'y', '’', 'all', 'bitches', 'be', 'doing', 'at', 'these', 'lingerie', 'parties', '?', '🤔', '...', 'i', 'see', 'no', 'point', 'if', 'y', '’', 'all', 'not', 'finna', 'be', 'turnt', 'doing', 'some', 'freaky', '…']",-1,Disgust,ADJ
"['in', 'korean', 'music', 'awards', ',', 'are', 'nominated', 'in', 'the', 'category', 'of', ':', '-', '🌟', 'musician', 'of', 'the', 'year', '(', 'bt', '…']",1,Joy,NOUN
"['and', 'if', 'you', 'send', 'your', 'soundcloud', 'link', 'you', 'getting', 'blocked', '☺', '️']",0,Surprise,ADJ
"['sadly', ',', 'i', 'think', 'it', 'is', '😞', '.']",-1,sadness,ADJ
"['on', 'the', 'subject', 'of', 'arsenal-based', 'gifs', ',', ""you've"", 'got', 'to', 'check', 'out', 'our', 'account', ""we've"", 'got', 'hundreds', 'right', 'here', '👉', '…']",0,Surprise,ADP
"['i', '’', 'm', 'so', 'ready', 'to', 'be', 'where', 'i', 'need', 'and', 'want', 'to', 'be', 'in', 'my', 'life', '..', 'no', 'one', 'knows', '😫']",-1,Sadness,ADJ
"['i', 'regret', 'showin', 'love', 'to', 'you', 'snake', 'niggas', 'and', 'you', 'basic', 'ass', 'hoes', '🎯']",-1,Anger,NOUN
"['bruhh', 'when', 'my', 'professor', 'doing', 'code', 'and', 'mess', 'up', 'he', 'be', 'like', ',', '""', 'well', 'that', ""shouldn't"", 'work', '""', '💀']",-1,Fear,VERB
"['we', 'got', 'you', '👌']",1,Joy,ADJ
"['bad', 'quality', ',', 'good', 'intentions', '💘']",1,Love,NOUN
"['finally', ""exo's"", 'official', 'twitter', 'acc', '.', 'posted', 'abt', 'this', '...', 'here', 'is', 'another', 'important', 'thing', 'which', 'needed', 'to', 'be', 'included', '...', '👇', '…']",0,Surprise,ADP
"['thanks', 'for', 'everything', 'scott', '💕']",1,Love,NOUN
"['happy', 'friday', '~', '🐈']",1,Joy,NOUN
"['sameeee', '😢']",-1,sadness,ADJ
"['u', 'all', 'might', 'hate', 'me', 'but', 'im', 'jung', 'yonghwa', 'armpit', 'hair', 'enthusiast', '&', 'i', 'see', 'it', 'sticking', 'out', 'ㅋㅋㅋ', 'i', 'just', 'love', 'evrypart', 'of', 'him', '🙈']",1,Love,ADJ
"['how', 'to', 'pronounce', 'bustification', '↺', 'rt', '❤', '#']",1,Love,SYM
"['bill', 'milward', 'age', ':', '32', 'loving', 'father', 'of', '3', 'daughters', ',', 'math', 'wiz', ',', 'generous', 'to', 'a', 'fault', ',', 'gave', 'the', 'best', 'bear', 'hugs', '.', '❤', '️', 'lost', 'to', 'su', '…']",1,Love,VERB
"['just', 'couldn', '’', 't', 'resist', 'it', 'had', 'to', 'test', 'out', 'my', 'new', 'strap', 'on', '😈']",1,Joy,ADJ
"['icymi', ':', 'today', 'on', 'bts', '🎙', 'i', 'broke', 'down', 'the', 'big', 'trade', 'and', 'why', 'i', 'think', 'kolby', 'altman', 'put', 'the', 'cavs', 'back', 'in', 'contention', '.', '-', 'wh', '…']",0,Surprise,NOUN
"['first', 'love', '💖']",1,Love,NOUN
"['wow', 'armys', 'really', 'crashed', 'the', 'bbma', '’', 's', 'ticket', 'site', 'after', 'the', 'nominations', 'were', 'announced', 'huh', '😩', '…']",-1,Sadness,ADJ
"['god', 'bless', 'my', 'love', '!', 'late', 'but', 'hope', 'you', 'did', 'well', 'and', 'obtain', 'bigger', 'blessings', '💖']",1,Love,NOUN
"['when', 'there', 'is', 'an', 'exciting', 'story', 'and', 'you', ""can't"", 'wait', 'to', 'tell', 'your', 'bestfriend', 'about', '😂']",1,Joy,VERB
"['""', 'let', 'all', 'the', 'earth', 'cry', 'out', 'to', 'god', 'with', 'joy', '!', '""', 'via', '😇']",1,Joy,ADJ
"['if', 'i', 'spiralise', 'my', 'eyes', ',', 'does', 'that', 'mean', 'i', '’', 'm', 'healthy', '?', '👅']",0,Surprise,NOUN
"['i', '’', 've', 'never', 'been', 'so', 'bored', 'in', 'my', 'entire', 'life', '🙃']",-1,Fear,ADJ
"['tobi', 'is', 'one', 'lucky', 'guy', 'chai', '😂']",1,Joy,VERB
"['it', '’', 's', 'big', '2018', 'and', 'i', 'still', 'struggle', 'with', 'captions', '🤧']",-1,Fear,ADJ
"['even', 'in', 'different', 'countries', ',', 'my', 'boys', ""don't"", 'forget', 'to', 'bow', '😉']",1,Joy,ADJ
"['this', 'the', 'real', 'king', '👑']",1,Joy,NOUN
"['after', 'workout', 'naka', '2rice', 'then', '1', 'pack', 'ng', 'cookies', '😩']",-1,Sadness,VERB
"['social', 'security', 'is', 'in', 'big', 'trouble', '.', '👉']",0,Surprise,ADP
"['lil', 'hoe', 'from', 'tha', '$', 'trong', '$', 'ide', 'of', 'tha', 'josie', '‼', '️']",-1,Anger,PUNCT
"[""that's"", 'why', 'we', 'go', 'to', 'the', ""'"", 'rewind', ""'"", 'festival', 'these', 'days', '😂']",1,Joy,VERB
"['good', 'morning', 'everyone', '😃']",1,Joy,ADJ
"['i', ""don't"", 'care', 'about', 'people', 'who', 'judge', 'me', '.', ""i'am"", 'just', 'gonna', 'do', 'whatever', 'makes', 'me', 'happy', 'in', 'my', 'life', '😎']",1,Joy,ADJ
"['you', 'know', 'what', 'would', 'be', 'the', 'hottest', 'valentine', 'date', 'for', 'armys', '?', 'hixtape', '🔥', 'kiddin', '…']",1,Joy,NOUN
"['when', 'your', 'friend', 'reminds', 'you', 'about', 'the', 'new', 'on', 'tonight', '.', '💯']",1,Joy,ADJ
